what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313864069826
java.specification.version,sysinfo,,,"1.6",1313864069826
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313864069826
java.version,sysinfo,,,"1.6.0_23",1313864069826
java.vm.info,sysinfo,,,"mixed mode",1313864069826
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1313864069826
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313864069826
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313864069826
java.vm.specification.version,sysinfo,,,"1.0",1313864069826
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313864069826
java.vm.version,sysinfo,,,"19.0-b09",1313864069826
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1313864074687
error,log,,,"Intro failed to get Browser support.",1313864074760
error,log,,,"Intro failed to get Browser support.",1313864079836
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313864081021
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313864081053
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1313864081072
started,bundle,com.altera.sbtgui.core,11.0.0.157,"com.altera.sbtgui.core",1313864084492
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1313864094125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313864099937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313864111537
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313864114465
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313864114545
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313864120224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313864125181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313864142189
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313864143917
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313864883485
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313864884363
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1313864885819
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313864885864
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1313864886028
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.157,"com.altera.debug.cdi.gdb.plugin",1313864886028
stopped,bundle,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch",1313864886030
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1313864886030
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1313864886030
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1313864886030
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1313864886030
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1313864886030
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1313864886030
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1313864886031
stopped,bundle,com.altera.sbtgui.ui,11.0.0.157,"com.altera.sbtgui.ui",1313864886031
stopped,bundle,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.project",1313864886031
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1313864886031
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1313864886031
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1313864886031
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1313864886033
